job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226801689,2026-03-01 10:33:33,15.506,17832.078,1
226801956,2026-03-01 10:35:32,12.841,20591.256,1
226801631,2026-03-01 10:33:05,16.193,34032.73,1
226803547,2026-03-01 10:48:51,1.021,1784.835,1
226801861,2026-03-01 10:34:52,13.348,22711.171,1
226797151,2026-03-01 09:54:43,66.525,68321.05,1
226801942,2026-03-01 10:35:27,12.864,27272.092,1
226801950,2026-03-01 10:35:30,12.355,26173.812,1
226802636,2026-03-01 10:40:22,7.509,7747.671,1
226801869,2026-03-01 10:34:55,13.35,20294.937,1
226803432,2026-03-01 10:47:56,1.174,1465.776,1
226802980,2026-03-01 10:43:47,5.183,7989.838,1
226801650,2026-03-01 10:33:14,15.671,20378.826,1
226803521,2026-03-01 10:48:39,1.017,1796.76,1
226803117,2026-03-01 10:45:36,4.344,4120.558,1
226792919,2026-03-01 08:50:18,130.357,265970.793,1
226801748,2026-03-01 10:34:01,14.865,30767.8,1
226801822,2026-03-01 10:34:34,13.342,20294.705,1
226803266,2026-03-01 10:46:43,3.179,4777.431,1
226801856,2026-03-01 10:34:49,14.02,18271.175,1
226803550,2026-03-01 10:48:53,1.017,1858.899,1
226803474,2026-03-01 10:48:15,1.356,2327.325,1
226801363,2026-03-01 10:31:08,19.843,19182.622,1
226801859,2026-03-01 10:34:50,13.679,22455.576,1
226803416,2026-03-01 10:47:47,2.686,5374.08,1
226802021,2026-03-01 10:36:02,13.175,22401.28,1
226801468,2026-03-01 10:31:52,19.84,19532.513,1
226803433,2026-03-01 10:47:56,2.52,5105.08,1
226801780,2026-03-01 10:34:15,14.512,20317.39,1
226802013,2026-03-01 10:35:59,13.173,19096.582,1
226803583,2026-03-01 10:49:09,1.18,1617.38,1
226801941,2026-03-01 10:35:25,13.341,16924.698,1
226801760,2026-03-01 10:34:07,15.009,21145.764,1
226803165,2026-03-01 10:45:59,4.675,4286.55,1
226803026,2026-03-01 10:44:52,5.672,8360.385,1
226801677,2026-03-01 10:33:27,15.511,19127.247,1
226803439,2026-03-01 10:47:58,1.841,2643.508,1
226802091,2026-03-01 10:36:34,12.352,25983.174,1
226801971,2026-03-01 10:35:39,12.189,25380.608,1
226801466,2026-03-01 10:31:52,19.842,20837.987,1
226803398,2026-03-01 10:47:39,3.007,4985.4,1
226803633,2026-03-01 10:49:33,1.175,1612.84,1
226792829,2026-03-01 08:49:44,131.022,276097.888,1
226801545,2026-03-01 10:32:25,18.507,17669.689,1
226801666,2026-03-01 10:33:22,16.675,19389.134,1
226801696,2026-03-01 10:33:38,16.341,23071.865,1
226801742,2026-03-01 10:33:58,16.191,25587.144,1
226803436,2026-03-01 10:47:57,2.674,4516.56,1
226803657,2026-03-01 10:49:44,1.008,1460.28,1
226803555,2026-03-01 10:48:56,1.678,1899.495,1
226801798,2026-03-01 10:34:24,15.506,18743.56,1
226803606,2026-03-01 10:49:20,1.174,1763.19,1
